BELGIUM	BULGARIA	CZECH	DENMARK	GERMANY	ESTONIA	IRELAND	GREECE	SPAIN	FRANCE	CROATIA	ITALY	CYPRUS	LATVIA	LITHUANIA	LUXEMBOURG	HUNGARY	MALTA	NETHERLANDS	AUSTRIA	PORTUGAL	ROMANIA	SLOVENIA	FINLAND	SWEDEN	UK	SLOVAKIA	POLAND
0.005909925	0.007419553	0.018802569	0.00650753	0.00422042	0.012498488	0.016525131	0.007745105	0.009471026	0.00265134	0.00625207	0.003908099	0.007946735	0.019636992	0.007958592	0.009623734	0.007267159	-0.004020678	0.00891388	0.007282583	0.006199156	0.004178247	0.015633178	0.006924726	0.009288415	0.005186074	0.008262268	0.018802569
0.006665283	0.00601725	0.020127185	0.00872655	0.00701822	0.013433456	0.01669864	0.008302051	0.010341172	0.004375236	0.003921705	0.005312674	0.009846429	0.012004378	0.003965884	0.003399916	0.005977821	-0.002248855	0.01108735	0.007852879	0.001818362	0.001782853	0.019025539	0.003795076	0.014448602	0.00449881	0.00780379	0.020127185
0.006236791	0.004043643	0.020463082	0.007844159	0.004853885	0.011010712	0.016851192	0.010062283	0.010444384	0.005033254	0.00389963	0.005906574	0.008626775	0.013877384	0.00019399	0.003323111	0.003324656	-0.006643276	0.012265084	0.007731309	0.005958311	-0.008305987	0.018176755	0.006845646	0.013966942	0.001981176	0.005888201	0.020463082
0.007865109	0.002209943	0.017356632	0.009022006	0.003665272	0.011143695	0.012722053	0.010640036	0.010485442	0.006414765	0.005808742	0.010754992	0.00724943	0.002786542	-0.000948794	0.00244222	0.004183402	-0.007036822	0.014123961	0.00975017	0.007310534	-0.009980705	0.015334677	0.008236947	0.010930949	-0.000905761	0.00360897	0.017356632
0.005356663	-0.000358863	0.015062393	0.002709813	0.009215248	0.007573094	0.007702143	0.009504013	0.009956015	0.006277506	0.001613595	0.010506282	0.008624016	-0.001695326	0.002326196	0.003410107	0.001585616	-0.011500448	0.012508956	0.006343009	0.004318565	-0.005614174	0.014221225	0.008300595	0.005709107	-0.000312871	0.001310027	0.015062393
0.002802235	-0.002251263	0.011630607	0.002158732	0.008130599	0.004184197	0.002336608	0.005773268	0.00845643	0.004795615	0.000672689	0.007461139	0.006374486	0.007278458	-0.007023664	-0.004651372	-0.000601738	-0.013291163	0.011569476	0.003202192	0.006023359	-0.007531355	0.00940631	0.005246281	0.00343644	-0.000479009	7.94E-05	0.011630607
-0.000430843	-0.002792901	0.007531569	0.003302112	0.005445777	-0.00171536	-0.004002925	0.004134165	0.00774717	0.003849282	-0.004226567	0.003740336	0.0108052	-0.006524128	-0.006892288	-0.004150113	-0.002855092	-0.013654312	0.009236141	0.001705615	0.004598449	-0.005844004	0.006287528	0.004480185	0.00192294	-0.001391851	-0.00270328	0.007531569
-0.003062536	-0.003490352	0.003580702	0.000395089	0.004566777	-0.003987407	-0.006971718	0.000833036	0.005756924	0.001520004	-0.004518573	0.002075159	0.004637932	-0.005563071	-0.00535088	0.000386861	-0.005289642	-0.016778358	0.007120062	0.00167176	0.00864969	-0.008954084	0.004057077	-2.72E-05	0.000414701	-0.003607517	-0.00114223	0.004201699
-0.001447014	-0.003051611	-0.001755702	-0.002068895	0.001862691	-0.009526859	-0.00765582	-0.001192961	0.003138906	0.00046936	-0.004702242	-0.000151177	0.005218089	-0.012285833	-0.012527804	0.001405049	-0.001864815	-0.011953928	0.002232061	0.000853504	0.007805805	-0.01320792	0.005184064	-0.001534135	-0.003790896	-0.005089994	-0.00441353	0.002610389
-8.07E-05	-0.002989351	-0.006196584	-0.004294698	0.001656611	-0.007676599	-0.010658141	-0.000991906	0.001308747	0.000435056	-0.005837954	0.00013037	0.007623533	-0.012796884	-0.009193276	0.003471593	-0.00532173	-0.012885495	0.000930711	-0.000214845	0.003909702	-0.009500044	-7.20E-05	-0.000276679	-0.001824629	-0.005478528	-0.00582678	0.001427505
