COUNTRY	COUNT	SECTOR	TRADE	OLD_UCM	CURRENCY	BORDER	FDI_2000	CROSSBORDER	Distance	FDI_2013	YCOUNTRYI	YCOUNTRYJ	cpi	HPCorr	SUMSIZE	EPL	PMR	FIIndex	latejoiner	HPCorrSA	UCM	HPOX
AUSTRIA	BELGIUM	0.410260218	84180315659	0.851929904	1	0	8611.549695	0	914.4633	2455	5241904.1	6395340.5	0.800625	0.879401918	0.050940885	0.724827586	0.135224175	0	1	0.879401918	0.889319765	0.914182768
AUSTRIA	BULGARIA	0.262389257	15187080369	0.635820216	0	0	7241.943226	1	820.7289	213.3	5241904.1	639083	4.7825	0.719677698	0.025743438	0.084137931	0.000819325	0	0	0.719677698	0.689828026	0.642732454
AUSTRIA	CROATIA	0.176035562	27841380249	0.689599277	0	0	12309.98474	1	270.6798	-22.5	5241904.1	786910.6	0.834375	0.781202459	0.026390539	0.125862069	0.501400625	0	0	0.781202459	0.74841545	0.639698961
AUSTRIA	CYPRUS	0.417447115	785037238	0.569553375	1	0	4314.723849	0	2017.949	11	5241904.1	316258.3	2.64625	0.511810085	0.024330305	0.135862069	0.076058225	0	0.5	0.511810085	0.444856102	0.525404452
AUSTRIA	CZECH	0.203757234	1.48E+11	0.856159126	0	1	11910.86687	1	252.4479	139	5241904.1	2686193.5	0.63875	0.808760207	0.034704462	0.605090312	0.2881188	0	0	0.808760207	0.810927226	0.76308563
AUSTRIA	DENMARK	0.231886343	22077918090	0.850750991	0	0	1560.809114	0	868.5304	833.4	5241904.1	4404607.9	2.545	0.80681932	0.04222665	0.45137931	0.1526365	0	0	0.80681932	0.830483937	0.788154431
AUSTRIA	ESTONIA	0.112261578	2268087519	0.843650418	1	0	0	0	1360.358	11.6	5241904.1	277028.1	7.10125	0.851773607	0.024158579	0.485862069	0.243298225	0	0.4	0.851773607	0.736799508	0.740884133
AUSTRIA	FINLAND	0.206260301	18069657823	0.892635517	1	0	890.1274119	0	1437.813	205	5241904.1	3288534	0.76625	0.929166045	0.037341147	0.213793103	0.0575194	0	1	0.929166045	0.925769631	0.901865612
AUSTRIA	FRANCE	0.365800961	1.48E+11	0.940935338	1	0	4861.588415	0	1035.144	8589	5241904.1	35561126.1	3.04375	0.945038698	0.178611221	0.214827586	0.2103061	0	1	0.945038698	0.929649606	0.920188598
AUSTRIA	GERMANY	0.244561947	1.47E+12	0.909819005	1	1	40263.56821	0	763.7314	165063	5241904.1	46564922.9	2.92625	0.917785972	0.226779251	0.043103448	0.10448825	0	1	0.917785972	0.945189888	0.874263252
AUSTRIA	GREECE	0.397937888	12019089957	-0.617221258	1	0	1314.282497	0	1283.6	2392.1	5241904.1	3799627.6	2.809375	0.172246485	0.039578409	0.135862069	0.7293033	0	0	0.172246485	0.154427843	0.262469412
AUSTRIA	HUNGARY	0.173623833	1.41E+11	0.698799966	0	1	8579.408296	1	215.6626	374	5241904.1	1790006.3	8.186875	0.722228539	0.030781491	0.622945402	0.336504975	0	0	0.722228539	0.686556348	0.586764546
AUSTRIA	IRELAND	0.404479255	10295622047	0.374784252	1	0	265.2023462	0	1681.996	147	5241904.1	3176560.7	5.86375	0.376126722	0.036850995	1.203793103	0.01270705	0	1	0.376126722	0.55507312	0.400036591
AUSTRIA	ITALY	0.181927808	2.88E+11	0.827747186	1	1	45096.11763	0	767.4132	96602.5	5241904.1	28750637.2	1.17625	0.87679903	0.148798981	0.15137931	0.167519475	0	1	0.87679903	0.890358704	0.890294905
AUSTRIA	LATVIA	0.2278236	2714428971	0.730089906	1	0	0	0	1102.181	34	5241904.1	334743.4	6.980625	0.801917506	0.024411222	0.084137931	0.033627925	0	0.1	0.801917506	0.711790192	0.656154164
AUSTRIA	LITHUANIA	0.201461037	3986184927	0.769556247	1	0	0	0	948.9832	0	5241904.1	510304.1	3.328125	0.805082482	0.025179721	0.155862069	0.058529575	0	0.17	0.805082482	0.670846298	0.67256585
AUSTRIA	LUXEMBOURG	0.659611019	6319855400	0.635893091	1	0	14685.24312	0	762.4356	51581	5241904.1	707794.6	0.938125	0.66850326	0.026044216	0.355862069	0.076449775	0	1	0.66850326	0.728365347	0.70449879
AUSTRIA	MALTA	0.336255376	513108284	0.173028517	1	0	854.9977818	0	1379.07	0	5241904.1	121287	0.39125	0.30552844	0.023476838	0.135862069	0.006499875	0	0.5	0.30552844	0.323681005	0.276519943
